country_name,indicator_name,value,year
Greenland,"Age at first marriage, female",31.2,2010
Belize,"Age at first marriage, female",28.6,2010
Bermuda,"Age at first marriage, female",30.6,2010
Eswatini,"Age at first marriage, female",26.2,2010
Afghanistan,"Age at first marriage, female",21.5,2010
Ecuador,"Age at first marriage, female",21.8,2010
Latvia,"Age at first marriage, female",29.5,2010
Colombia,"Age at first marriage, female",22.3,2010
Costa Rica,"Age at first marriage, female",24.2,2010
Hungary,"Age at first marriage, female",31.1,2010
Panama,"Age at first marriage, female",21.6,2010
Timor-Leste,"Age at first marriage, female",23.9,2010
Zambia,"Age at first marriage, female",21.8,2010
Japan,"Age at first marriage, female",29.7,2010
Kiribati,"Age at first marriage, female",21.6,2010
Barbados,"Age at first marriage, female",31.9,2010
Armenia,"Age at first marriage, female",24.5,2010
Italy,"Age at first marriage, female",30.6,2010
"Korea, Rep.","Age at first marriage, female",30.2,2010
Chad,"Age at first marriage, female",18.2,2010
Norway,"Age at first marriage, female",31.8,2010
Central African Republic,"Age at first marriage, female",17.3,2010
Malta,"Age at first marriage, female",28.2,2010
Burundi,"Age at first marriage, female",22.1,2010
Virgin Islands (U.S.),"Age at first marriage, female",30.9,2010
Netherlands,"Age at first marriage, female",31.4,2010
Guinea-Bissau,"Age at first marriage, female",21.7,2010
Philippines,"Age at first marriage, female",24.2,2010
Oman,"Age at first marriage, female",25.6,2010
Puerto Rico,"Age at first marriage, female",29.2,2010
West Bank and Gaza,"Age at first marriage, female",23.2,2010
Malaysia,"Age at first marriage, female",25.7,2010
Aruba,"Age at first marriage, female",28.5,2010
Argentina,"Age at first marriage, female",24.6,2010
Bahrain,"Age at first marriage, female",26.9,2010
Dominican Republic,"Age at first marriage, female",21.5,2010
South Sudan,"Age at first marriage, female",18.4,2010
Burkina Faso,"Age at first marriage, female",19.5,2010
Russian Federation,"Age at first marriage, female",24.4,2010
Lithuania,"Age at first marriage, female",28.2,2010
Thailand,"Age at first marriage, female",24.9,2010
Saudi Arabia,"Age at first marriage, female",24.8,2010
Singapore,"Age at first marriage, female",27.9,2010
China,"Age at first marriage, female",24.7,2010
Slovak Republic,"Age at first marriage, female",29.1,2010
Slovenia,"Age at first marriage, female",33.2,2010
Sweden,"Age at first marriage, female",31.4,2010
Malawi,"Age at first marriage, female",19.7,2010
Tajikistan,"Age at first marriage, female",22.1,2010
Mongolia,"Age at first marriage, female",24.2,2010
Mali,"Age at first marriage, female",19.2,2010
"Bahamas, The","Age at first marriage, female",27.9,2010
"Congo, Dem. Rep.","Age at first marriage, female",20.2,2010
Israel,"Age at first marriage, female",26.2,2010
Suriname,"Age at first marriage, female",22.8,2010
Finland,"Age at first marriage, female",30.2,2010
Ghana,"Age at first marriage, female",24.1,2010
Romania,"Age at first marriage, female",26.4,2010
Peru,"Age at first marriage, female",23.1,2010
Indonesia,"Age at first marriage, female",22.3,2010
Rwanda,"Age at first marriage, female",24.4,2010
Iceland,"Age at first marriage, female",27.8,2010
Togo,"Age at first marriage, female",21.8,2010
Liechtenstein,"Age at first marriage, female",29.7,2010
Brazil,"Age at first marriage, female",23.9,2010
United States,"Age at first marriage, female",27.5,2010
Denmark,"Age at first marriage, female",30.8,2010
Bhutan,"Age at first marriage, female",21.4,2010
Georgia,"Age at first marriage, female",21.8,2010
Cayman Islands,"Age at first marriage, female",1,2010
Sierra Leone,"Age at first marriage, female",1,2010
Cambodia,"Age at first marriage, female",1,2010
United Kingdom,"Age at first marriage, female",1,2010
Mexico,"Age at first marriage, female",1,2010
Serbia,"Age at first marriage, female",1,2010
Sudan,"Age at first marriage, female",1,2010
Switzerland,"Age at first marriage, female",1,2010
Tanzania,"Age at first marriage, female",1,2010
Chad,Lifetime risk of maternal death (%),8.463112275,2010
New Zealand,Lifetime risk of maternal death (%),0.021403604,2010
Sudan,Lifetime risk of maternal death (%),2.0479215,2010
Panama,Lifetime risk of maternal death (%),0.219383929,2010
Serbia,Lifetime risk of maternal death (%),0.018456996,2010
Dominican Republic,Lifetime risk of maternal death (%),0.265176541,2010
Liberia,Lifetime risk of maternal death (%),3.658478032,2010
Tanzania,Lifetime risk of maternal death (%),3.558156695,2010
Timor-Leste,Lifetime risk of maternal death (%),1.022368046,2010
Grenada,Lifetime risk of maternal death (%),0.069288952,2010
Zambia,Lifetime risk of maternal death (%),1.730764892,2010
Djibouti,Lifetime risk of maternal death (%),0.907131246,2010
Namibia,Lifetime risk of maternal death (%),0.994658219,2010
Papua New Guinea,Lifetime risk of maternal death (%),0.693723334,2010
Cabo Verde,Lifetime risk of maternal death (%),0.201792799,2010
North Macedonia,Lifetime risk of maternal death (%),0.01227188,2010
Latvia,Lifetime risk of maternal death (%),0.037711745,2010
Benin,Lifetime risk of maternal death (%),2.578819188,2010
Chile,Lifetime risk of maternal death (%),0.039070717,2010
Moldova,Lifetime risk of maternal death (%),0.039590745,2010
Sri Lanka,Lifetime risk of maternal death (%),0.089311739,2010
China,Lifetime risk of maternal death (%),0.056879708,2010
Myanmar,Lifetime risk of maternal death (%),0.636758017,2010
Eritrea,Lifetime risk of maternal death (%),2.743867567,2010
Greece,Lifetime risk of maternal death (%),0.0044049,2010
Albania,Lifetime risk of maternal death (%),0.033875966,2010
Uruguay,Lifetime risk of maternal death (%),0.035325214,2010
Uzbekistan,Lifetime risk of maternal death (%),0.086799715,2010
Guyana,Lifetime risk of maternal death (%),0.486406016,2010
Lesotho,Lifetime risk of maternal death (%),1.997505738,2010
Lithuania,Lifetime risk of maternal death (%),0.014054253,2010
Vanuatu,Lifetime risk of maternal death (%),0.405837443,2010
Malawi,Lifetime risk of maternal death (%),2.477667707,2010
Bangladesh,Lifetime risk of maternal death (%),0.684463085,2010
Algeria,Lifetime risk of maternal death (%),0.344174098,2010
Haiti,Lifetime risk of maternal death (%),1.514226856,2010
Poland,Lifetime risk of maternal death (%),0.004148212,2010
"Korea, Rep.",Lifetime risk of maternal death (%),0.018232868,2010
Ukraine,Lifetime risk of maternal death (%),0.036535382,2010
United Kingdom,Lifetime risk of maternal death (%),0.017803694,2010
Mauritius,Lifetime risk of maternal death (%),0.103264761,2010
Eswatini,Lifetime risk of maternal death (%),1.512630511,2010
Mauritania,Lifetime risk of maternal death (%),4.150074898,2010
Nepal,Lifetime risk of maternal death (%),0.899278597,2010
Nicaragua,Lifetime risk of maternal death (%),0.331274867,2010
"Gambia, The",Lifetime risk of maternal death (%),3.692336184,2010
Georgia,Lifetime risk of maternal death (%),0.060488631,2010
Belize,Lifetime risk of maternal death (%),0.164156469,2010
Bolivia,Lifetime risk of maternal death (%),0.724202375,2010
South Africa,Lifetime risk of maternal death (%),0.448517644,2010
Turkmenistan,Lifetime risk of maternal death (%),0.031712449,2010
Samoa,Lifetime risk of maternal death (%),0.248043682,2010
Kiribati,Lifetime risk of maternal death (%),0.422803531,2010
Angola,Lifetime risk of maternal death (%),2.151458938,2010
Switzerland,Lifetime risk of maternal death (%),0.009090273,2010
Tonga,Lifetime risk of maternal death (%),0.221091101,2010
Australia,Lifetime risk of maternal death (%),0.010544763,2010
Senegal,Lifetime risk of maternal death (%),2.342805155,2010
Malaysia,Lifetime risk of maternal death (%),0.065846737,2010
France,Lifetime risk of maternal death (%),0.017955677,2010
Peru,Lifetime risk of maternal death (%),0.277766193,2010
Philippines,Lifetime risk of maternal death (%),0.480726926,2010
Rwanda,Lifetime risk of maternal death (%),1.696837806,2010
Kenya,Lifetime risk of maternal death (%),2.0008877,2010
Antigua and Barbuda,Lifetime risk of maternal death (%),0.086748844,2010
Cote d'Ivoire,Lifetime risk of maternal death (%),3.54349058,2010
Bulgaria,Lifetime risk of maternal death (%),0.01860022,2010
Cameroon,Lifetime risk of maternal death (%),3.143548096,2010
Colombia,Lifetime risk of maternal death (%),0.178094391,2010
Equatorial Guinea,Lifetime risk of maternal death (%),1.690534106,2010
Luxembourg,Lifetime risk of maternal death (%),0.011857794,2010
Madagascar,Lifetime risk of maternal death (%),2.239543873,2010
Armenia,Lifetime risk of maternal death (%),0.060246321,2010
Austria,Lifetime risk of maternal death (%),0.00715541,2010
Ecuador,Lifetime risk of maternal death (%),0.220653649,2010
Pakistan,Lifetime risk of maternal death (%),0.79841702,2010
Guatemala,Lifetime risk of maternal death (%),0.482421412,2010
Puerto Rico,Lifetime risk of maternal death (%),0.033637627,2010
Seychelles,Lifetime risk of maternal death (%),0.1303846,2010
Maldives,Lifetime risk of maternal death (%),0.168286704,2010
Somalia,Lifetime risk of maternal death (%),6.503787779,2010
Iraq,Lifetime risk of maternal death (%),0.339082739,2010
Canada,Lifetime risk of maternal death (%),0.017730668,2010
Cuba,Lifetime risk of maternal death (%),0.0603606,2010
Saudi Arabia,Lifetime risk of maternal death (%),0.059140538,2010
Honduras,Lifetime risk of maternal death (%),0.244426642,2010
Turkey,Lifetime risk of maternal death (%),0.05529822,2010
Nigeria,Lifetime risk of maternal death (%),5.498337933,2010
Solomon Islands,Lifetime risk of maternal death (%),0.67039729,2010
Tunisia,Lifetime risk of maternal death (%),0.102299876,2010
Zimbabwe,Lifetime risk of maternal death (%),2.522083249,2010
Finland,Lifetime risk of maternal death (%),0.007445184,2010
Romania,Lifetime risk of maternal death (%),0.041092273,2010
Indonesia,Lifetime risk of maternal death (%),0.589135043,2010
Israel,Lifetime risk of maternal death (%),0.012131502,2010
Jordan,Lifetime risk of maternal death (%),0.210682748,2010
Kyrgyz Republic,Lifetime risk of maternal death (%),0.261118961,2010
Mali,Lifetime risk of maternal death (%),4.459458703,2010
Argentina,Lifetime risk of maternal death (%),0.125610916,2010
"Egypt, Arab Rep.",Lifetime risk of maternal death (%),0.163322514,2010
Montenegro,Lifetime risk of maternal death (%),0.012895529,2010
Guinea-Bissau,Lifetime risk of maternal death (%),4.037501059,2010
United Arab Emirates,Lifetime risk of maternal death (%),0.008328441,2010
Denmark,Lifetime risk of maternal death (%),0.009233527,2010
Italy,Lifetime risk of maternal death (%),0.003040528,2010
Bhutan,Lifetime risk of maternal death (%),0.622832976,2010
Brazil,Lifetime risk of maternal death (%),0.122627133,2010
Cambodia,Lifetime risk of maternal death (%),0.77619493,2010
Costa Rica,Lifetime risk of maternal death (%),0.062940477,2010
Oman,Lifetime risk of maternal death (%),0.06002967,2010
Iceland,Lifetime risk of maternal death (%),0.009629606,2010
"Korea, Dem. People's Rep.",Lifetime risk of maternal death (%),0.189399164,2010
Kuwait,Lifetime risk of maternal death (%),0.025200393,2010
Belarus,Lifetime risk of maternal death (%),0.00778764,2010
Vietnam,Lifetime risk of maternal death (%),0.098592036,2010
Sao Tome and Principe,Lifetime risk of maternal death (%),0.71336948,2010
Central African Republic,Lifetime risk of maternal death (%),5.00579706,2010
Cyprus,Lifetime risk of maternal death (%),0.011357434,2010
Gabon,Lifetime risk of maternal death (%),1.362163141,2010
Afghanistan,Lifetime risk of maternal death (%),6.039311292,2010
Spain,Lifetime risk of maternal death (%),0.005871623,2010
Syrian Arab Republic,Lifetime risk of maternal death (%),0.095044156,2010
Ethiopia,Lifetime risk of maternal death (%),3.110797279,2010
Sierra Leone,Lifetime risk of maternal death (%),6.908738683,2010
Malta,Lifetime risk of maternal death (%),0.010894025,2010
Tajikistan,Lifetime risk of maternal death (%),0.095011151,2010
"Yemen, Rep.",Lifetime risk of maternal death (%),0.919160627,2010
Germany,Lifetime risk of maternal death (%),0.007235018,2010
Togo,Lifetime risk of maternal death (%),2.193657225,2010
Singapore,Lifetime risk of maternal death (%),0.011922624,2010
Libya,Lifetime risk of maternal death (%),0.137333976,2010
Bosnia and Herzegovina,Lifetime risk of maternal death (%),0.013743789,2010
Netherlands,Lifetime risk of maternal death (%),0.01156282,2010
Fiji,Lifetime risk of maternal death (%),0.112915145,2010
Russian Federation,Lifetime risk of maternal death (%),0.040537427,2010
